Accession,FBgn
Q9VB43,FBgn0039511
Q9W3X6,FBgn0286222
B7Z0B3,FBgn0035452
Q9VI25,FBgn0037447
Q9VG82,FBgn0038037
Q8T465,FBgn0033953
P04388,FBgn0003206
M9PCY6,FBgn0264340
M9MRM4,FBgn0283500
Q9VFQ9,FBgn0000454
Q9W2J0,FBgn0050391
Q9VIU7,FBgn0032799
Q7JX82,FBgn0010504
Q9VAM6,FBgn0062442
Q9VFF6,FBgn0038266
Q9VNF4,FBgn0051546
Q86BN8,FBgn0039111
Q8T476,FBgn0052392
Q9VNB9,FBgn0037328
Q9VKG0,FBgn0032369
X2JEY5,FBgn0052626
Q8IPZ3,FBgn0031500
Q9VVP4,FBgn0036784
Q9VWT3,FBgn0030932
Q9VKM3,FBgn0010612
A1ZAE9,FBgn0034121
Q7JZK1,FBgn0033570
Q9VL61,FBgn0032167
A1Z9E3,FBgn0024556
P00417,FBgn0013676
Q9VAL0,FBgn0040623
Q9VWA6,FBgn0036962
Q9VMQ5,FBgn0031713
P52029,FBgn0003074
Q9VD59,FBgn0038921
Q4V3Y0,FBgn0261358
Q9VZ94,FBgn0035567
P10987,FBgn0000042
Q9W4H4,FBgn0029722
A4V2B8,FBgn0264492
Q9VW12,FBgn0036887
Q6GV06,FBgn0040097
Q9VUE5,FBgn0003459
Q0KI05,FBgn0039510
Q9VZZ8,FBgn0062517
Q5LJP0,FBgn0001313
Q9VKZ5,FBgn0032219
Q9VKI8,FBgn0032350
A1Z9G3,FBgn0033860
Q9V9P6,FBgn0032968
Q9VVU2,FBgn0036825
Q8INR8,FBgn0051286
B6IDY5,FBgn0025454
Q8MKK4,FBgn0033644
Q8T0R3,FBgn0052026
O17445,FBgn0028697
Q9VB96,FBgn0051075
Q95R35,FBgn0052064
O97125,FBgn0001230
E2QD63,FBgn0029676
Q9VBR4,FBgn0039331
Q1ECA7,FBgn0051659
Q9VTL0,FBgn0036183
